,,,,,,,,
year,state,domestic_tourists ,foreign_tourists ,,,,,
2021,Tamil Nadu," 11,53,36,719 "," 57,622 ",,,,,
2022,Tamil Nadu," 21,85,85,000 "," 4,07,000 ",,,,,
2023,Tamil Nadu," 28,60,12,000 "," 1,17,50,00,000 ",,,,,
2016,Telangana," 9,51,60,830 "," 1,66,570 ",,,,,
2017,Telangana," 8,52,66,596 "," 2,51,846 ",,,,,
2018,Telangana," 9,28,78,329 "," 3,18,154 ",,,,,
2019,Telangana," 8,30,35,894 "," 3,23,326 ",,,,,
2020,Telangana," 3,99,97,001 "," 46,694 ",,,,,
2021,Telangana," 3,20,00,620 "," 5,917 ",,,,,
2022,Telangana," 6,07,48,000 "," 68,000 ",,,,,
2023,Telangana," 5,84,48,000 "," 1,61,000 ",,,,,
2016,Tripura," 3,70,618 "," 36,780 ",,,,,
2017,Tripura," 3,98,669 "," 69,899 ",,,,,
2018,Tripura," 4,14,388 "," 1,02,861 ",,,,,
2019,Tripura," 4,37,201 "," 1,54,405 ",,,,,
2020,Tripura," 1,27,815 "," 31,877 ",,,,,
2021,Tripura," 1,77,816 ", 5 ,,,,,
2022,Tripura," 2,36,000 "," 8,000 ",,,,,
2023,Tripura," 3,66,000 "," 67,000 ",,,,,
2016,Uttar Pradesh," 21,17,07,090 "," 31,56,812 ",,,,,
2017,Uttar Pradesh," 23,39,77,619 "," 35,56,204 ",,,,,
2018,Uttar Pradesh," 28,50,79,848 "," 37,80,752 ",,,,,
2019,Uttar Pradesh," 53,58,55,162 "," 47,45,181 ",,,,,
2020,Uttar Pradesh," 8,61,22,293 "," 8,90,932 ",,,,,
2021,Uttar Pradesh," 10,97,08,435 "," 44,737 ",,,,,
2022,Uttar Pradesh," 31,79,14,000 "," 6,49,000 ",,,,,
2023,Uttar Pradesh," 47,85,26,000 "," 16,02,000 ",,,,,
2016,Uttarakhand," 3,05,05,363 "," 1,17,106 ",,,,,
2017,Uttarakhand," 3,43,59,989 "," 1,33,725 ",,,,,
2018,Uttarakhand," 3,56,09,650 "," 1,51,320 ",,,,,
2019,Uttarakhand," 3,75,85,920 "," 1,52,273 ",,,,,
2020,Uttarakhand," 70,05,264 "," 41,339 ",,,,,
2021,Uttarakhand," 1,94,34,475 "," 8,532 ",,,,,
2022,Uttarakhand," 5,46,43,000 "," 62,000 ",,,,,
2023,Uttarakhand," 5,81,41,000 "," 1,43,000 ",,,,,
2016,West Bengal," 7,44,60,250 "," 15,28,700 ",,,,,
2017,West Bengal," 7,96,30,345 "," 15,74,915 ",,,,,
2018,West Bengal," 16,17,105 "," 16,17,105 ",,,,,
2019,West Bengal," 9,23,66,025 "," 16,56,145 ",,,,,
2020,West Bengal," 2,88,41,732 "," 4,63,285 ",,,,,
2021,West Bengal," 2,43,25,984 "," 34,828 ",,,,,
2022,West Bengal," 8,45,42,000 "," 10,37,000 ",,,,,
2023,West Bengal," 14,56,69,000 "," 27,07,000 ",,,,,
,,,,,,,,
* Estimated using all India Growth Rate,,,,,,,,
#Figure of 2017 repeated for 2018,,,,,,,,
